System ID	Name Title	Name Title Notes	Other Name
"1012"	"Dead Cedar Tree"	"Remarks: Source of title: Label: printed, O'Keeffe (white). Not recorded Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Verso inscription dates 1936. Dated 1937 on basis of Stieglitz-O'Keeffe correspondence."	
"1013"	"Geranium Leaves in Pink Dish"	"Remarks: Source of title: backing inscription, Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation 1939 New York (An American Place) exhibition checklist. Whitney Museum of American Art Library indicates, ""Exam. at Amer. Place, March 1946....No signature. Nothing on back. Identified by Miss O'Keeffe as being in 1939 exh. Amer. Place."""	
"1014"	"White Feather"	"Remarks: Source of title: Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation, 1942 New York (An American Place) exhibition checklist. Whitney Museum of American Art Library INDICATES, ""Painted 1941. Sold to Cady Wells."" Abiquiu Notebooks indicates, ""Note: Formerly belonged to Cady Wells."""	
"1015"	"A Man from the Desert"	"Remarks: Source of title: Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation, 1942 New York (An American Place) exhibition checklist. Whitney Museum of American Art Library indicates, ""Exam. at Amer. Place, March 1946."" Whitney Museum of American Art Library, AN INDICATE, ""This is a Kachina. O'Keeffe calls it ""The Man of the House.'"""	
"1016"	"Mariposa Lilies and Indian Paintbrush"	"Remarks: Source of first title: Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Whitney Museum of American Art Library indicates, ""Exam. at Amer. Place, March 1946."""	"White Mariposa Lilies and Red Indian Paintbrush      "
"1017"	"Road to Pedernal"	"Remarks: Source of first title: backing inscription. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art."	"A Road and Mountain      AN"
"1018"	"Untitled (Pedernal)"	"Remarks: Source of title: relationship of image to cat. no. 1022. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation."	
"1020"	"My Front Yard, Summer"	"Source of first title; Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation, backing inscription."	"My Front Yard--Summer      "
"1021"	"Feathers, White and Grey"	"Remarks: source of first title: Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Not recorded Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art."	"Feathers - White and Grey   Former Title   "
"1022"	"Kokopelli"	"Source of title: Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation, verso inscription, 1943 New York (An American Place) exhibition checklist. WA indicates, ""Exam. at Amer. Place, March1946.... No signature"" [notes verso inscription]."	
"1023"	"Untitled (Beauford Delaney)"	"Remarks: Source of title: relationship of image to cat. nos. 1042, 1045. Not recorded Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Dated 1943 on basis of Stieglitz-O'Keeffe correspondence. O'Keeffe wrote: ""I first met Beauford Delaney when he was posing for Mary Callery. I found that he was a painter and posed for others because he had no heat in his studio and needed to keep warm. He seemed a very special sort of person so I began drawing him too"" (Some Memories of Drawings [1988], unpaginated). See cat. nos. 1042-45."	
"1024"	"Untitled (Abstraction)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. This drawing relates to cat. no. 1052."	
"1025"	"Horns"	"Remarks: Source of title: Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation, 1944 New York  (An American Place) exhibition checklist. Whitney Museum of American Art Library indicates, ""Exam. at Amer. Place, March 1946:....No signature"" [notes backing inscriptions]."	
"1026"	"Dead Piñon Tree"	"Remarks: Source of title: Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library AFTER 1969, 1944 NEW York (An American Place) exhibition checklist. Downton Gallery Records, Archives of American Art; Abiquiut Notebooks date 1953. Dated 1943 on basis of inclusion in 1944 exhibition."	
"1027"	"Untitled (Cottonwood Tree)"	"Remarks: Source of title image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. See cat. no. 1122. cat. rais."	
"1028"	"Part of the Cliff"	"Remarks: Source of title: backing inscription 1, Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of American Art Library in 1969. Abiquiu Notebooks indicates, ""not hung"" in 1950 exhibition."	
"1029"	"Cottonwood and Pedernal"	"Remarks: Source of title: Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation AFTER 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art. Stretcher inscription indicates preparation of support."	
"103"	"Calla Lily Turned Away"	"Source of first title: backing inscription 1. Artist Files, Whitney Museum of American Art Library indicates, ""Exam. at Amer. Place, March 1946."" Abiquiu Notebooks, The Georgia O'Keeffe Foundation notes backing inscriptions 1-3."	"Calla   Former Title   [WA, DA, AN]"
"1030"	"Ram's Horns I"	"Remarks: Source of title: Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Not recorded Artist Files, Whitney Museum of American Art Library."	
"1031"	"Untitled (Tree)"	"Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation."	
"1032"	"Cottonwoods Near Abiquiu"	"Remarks: Source of title: An after 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art."	
"1033"	"Early Spring Trees Above Irrigation Ditch, Abiquiu"	"Remarks: Source of title: Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library IN 1969 , backing inscription 1. Titled Early Sprint Trees Above Irrigation Ditch by O'Keeffe on Abiquiu Notebooks photograph."	
"1034"	"Winter Trees, Abiquiu, III"	"Remarks: Source of title: Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library in 1970. Whitney Museum of American Art Library in 1969 indicates, ""I believe that this is the ptg. I saw in the N.Y. warehouse 3/19/70, which David Workman had owned, but turned in in exchange."" The work referred to as exchanged is cat. no. 1275."	
"1035"	"Mesa and Road East"	"Remarks: Source of first title: backing inscription1, Artist Files, Downtown Gallery Records, Archives of American Art. Artist Files, Whitney Museum of American Art Library in 1969 indicates, ""Miss O'Keeffe told me 6/2/70 that this and Mesa and Road to the East II and Easter Sunrise were all views from her house in Abiquiu of the road past the house, facing East. She said that these 3 were the source of The Winter Road, 1963."" See cat. nos. 1235,1266, 1477. Backing inscription dates 1953. Artist Files, Whitney Museum of ^American Art Library DATES 1953. Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library in 1969 and 1952. Dated 1952 on basis of O'Keeffe letter: ""Today I have sent you four paintings to express. Mesa and Road East 52..."" (O'Keeffe to Edith Halpert, 8 August 1953, Archives of American Art). See cat. nos. 1253-60, 1266, 1491, 1998."	"Mesa and Road to the East No. 1      AN, WA IN 1969"
"1036"	"Mesa and Road East II"	"Remarks: Source of first title: backing inscription. Titled Mesa and Road East No. II by O'Keeffe on Abiquiu Notebooks photograph. See cat. nos. 1234, 1253-60, 1266, 1491, 1998."	"Mesa and Road II   Former Title   DA, Mesa and Road to the East No. II   Former Title   AN, MESA AND ROAD TO THE EAST II   Former Title   WA IN 1969"
"1037"	"In the Patio III"	"Remarks: Source of title: Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of American Art Library in 1969. Whitney Museum of American Art Library in 1969 indicates, ""Seen in N.Y. warehouse, O'Keeffe, 3/26/70. Notes & sketch."" ""I wish you would send me that In the Patio III that you had color plate made from. I would like to repaint it"" (O'Keeffe to EH, 17 February 1955, Archives of American Art)."	
"1038"	"Cottonwoods"	"Remarks: Source of title: backing inscription. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation."	
"1039"	"Easter Sunrise"	"Remarks: source of title: backing inscription, Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library in 1969. ^Title Easter Sunrise by O'Keeffe on Abiquiu Notebooks photograph. ^See Cat. nos. 1234. 1235, 1253-60, 1477, 1998."	
"104"	"Evening Star No. VI"	"Source of title: Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Not recorded Artist Files, Whitney Museum of ^American Art Library. An indicates lost inscription, ""Back: O'K: 'No. 6"" [No. 6 is Downtown Gallery inventory number] Received in exchange in 1971 for cat. no 797. Pictured in 1923 New York (Anderson) Stieglitz installation photograph, see Appendix III, figure 21."	
"1040"	"Green Tree"	"Remarks: Source of title: backing inscriptions. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation."	
"1041"	"Winter Cottonwoods East IV"	"Remarks: Source of title: Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library, in 1969 Received in exchange for ca. 1220. Title Winter Cottonwoods East IV by O'Keeffe on Abiquiu Notebooks photograph."	
"1042"	"Door Through Window"	"Remarks: Source of title Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library, in 1969."	
"1043"	"Untitled (Sacsayhuaman)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. See cat. nos. 1285-90."	
"1044"	"Machu Picchu I"	"Remarks: Source of title: Abiquiu Notebooks, The Georgia O'Keeffe Foundation after 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art. See cat. nos. 1981, 1982, 1985, 1986. ^ ^Machu Picchu (in hispanicized spelling, Spanish pronunciation: [ˈmatʃu ˈpiktʃu]) or Machu Pikchu (Quechua machu old, old person, pikchu peak; mountain or prominence with a broad base which ends in sharp peaks,[1] ""old peak"", pronunciation [ˈmɑtʃu ˈpixtʃu]) is a 15th-century Inca site located 2,430 metres (7,970 ft) above sea level.[2][3] It is located in the Cusco Region, Urubamba Province, Machupicchu District in Peru.[4]  WIKIPEDIA. DGARCIA"	
"1045"	"Misti - A Memory"	"Remarks: Source of title: backing inscription, Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library IN 1969. Title Misti A Memory by O'Keeffe on Abiquiu Notebooks photograph."	
"1046"	"Rose"	"Remarks: Source of title: Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation after 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art. See cat. nos. 1934, 1935."	
"1047"	"Drawing IX"	"Remarks: Source of title: Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Not recorded Artist Files, Whitney Museum of American Art Library."	
"1048"	"Blue--A"	"Remarks: Source of title: backing inscription, Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library IN 1969. Backing inscription dates 1960. Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of American Art Library in 1969 date 1959. Titled Blue A by O'Keeffe on Abiquiu Notebooks photograph."	
"1049"	"From the River--Pale"	"Remarks: Source of title: Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation after 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art. The subject matter of the work is a stick O'Keeffe found near the river, which stands on a table next to her easel and the finished painting in a 1963 Todd Webb photograph; see Charles Eldredge (Georgia O'Keeffe: American and Modern [1993], p. 37)."	
"105"	"Sunrise and Little Clouds No. II"	"Remarks: Source of first title: Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation. Not recorded Artist Files, Whitney Museum of ^American Art Library. Completed after August move to Texas. Pictured in 1917 New York (291) Stieglitz installation photograph, see Appendix III, figure 6."	"Sunrise and Little Clouds II      "
"1050"	"Sky Above the Flat White Cloud II"	"Remarks: Source of first title: backing inscriptions. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art."	"Sky Above White Cloud II   Former Title   [AN]"
"1051"	"Mountains and Lake"	"Remarks: Source of title: backing inscription. DA, AN, WA in 1969. Titled Mountains and Lake by O'Keeffe on AN photograph. See cat. nos. 1300, 1301, 1303, 1938. cat. rais."	
"1052"	"An Island with Clouds"	"Remarks: Source of title: Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation Not recorded Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art. See cat. no. 1370."	
"1053"	"Black Rock with White Background"	"Remarks: Source of title: Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation in 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art. Part of series, see cat. nos. 1517-22, 1578-80."	
"1054"	"Canyon Country, White and Brown Cliffs"	"Remarks: Source of title: Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation after 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art. Backing inscription may indicate preparatory work. See cat. nos. 1499-1500, 1539-54, 1577, 2021-24."	
"1055"	"Canyon No. II"	"Remarks: Source of title: Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation; Artist Files, Whitney Museum of ^American Art Library in 1969. Not recorded Artist Files, Downtown Gallery Records, Archives of American Art. Whitney Museum of American Art Library in 1969 indicates, ""Seen by me in Abiquiu, 12/1969. See notes. (Was I wrong about the date and the order in the series!)"". Part of series inspired by Colorado River trips from 1964 to 1967. Backing inscription dates 1964. Whitney Museum of American Art Library and Abiquiu Notebooks date 1967. Dated ca. 1965 on basis of inclusion in 1967 New York (Whitney - Annual) exhibition. See cat. nos. 1499-1501, 1539-54, 1577, 2021-24."	
"1056"	"On the River I"	"Remarks: Double entries Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation. Source of first title: Abiquiu Notebooks, The Georgia O'Keeffe Foundation after 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art. Backing inscription 2 may indicate preparatory work. See cat. nos. 1555-76."	"Canyon Country III   Former Title   [AN]"
"1057"	"The Beyond"	"Remarks: Source of title Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation. Not recorded Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art. O'Keeffe's last unassisted oil painting. Barbara Buhler Lynes."	
"1058"	"Palm Tree"	"Remarks: Source of first title: verso inscription 1. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes"	"Palm Tree at My Door, Antigua      OKW"
"1059"	"Palm Tree at My Door--Antigua"	"Remarks: Source of title: Label: printed, O'Keeffe (white). Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes"	"Palm Tree in Wind--Antigua      "
"1060"	"Branches with Sun"	"Remarks: source of title: Abiquiu Notebooks, The Georgia O'Keeffe Foundation after 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art. Barbara Buhler Lynes"	
"1061"	"Untitled (Redwoods Big Sur)"	"Remarks: Source of title: relationship of image to cat. no. 1609. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes"	
"1062"	"Redwoods Big Sur"	"Remarks: Source of title: Label: printed, O'Keeffe (white). Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes."	
"1063"	"Untitled (Abstraction Blue Circle and Line)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes"	
"1064"	"From a Day at Esther's"	"Remarks: Source of title: Label: printed, O'Keeffe (white). Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. The title refers to Georgia O'Keeffe's friend Esther Johnson."	
"1065"	"Untitled (Abstraction Pink and Green)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes."	
"1066"	"Untitled (Curved Line and Round Spots--Blue)"	"Remarks: Source of title Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation after 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art. Barbara Buhler Lynes"	
"1067"	"Untitled (From a Day with Juan)"	"Remarks: Source of title: inclusion in series. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. See cat. nos. 1619-22, 1624-31."	
"1068"	"Untitled (From a Day with Juan III)"	"Remarks: Source of title: inclusion in series. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. See cat. nos. 1619-26, 1628-31, Painted with the assistance of John Poling. Barbara Buhler Lynes."	
"1069"	"From a Day with Juan A"	"Remarks: Source of title: backing inscription 2. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Inscriptions 1, 3, 4 indicate preparatory work. Part of a series: see cat. nos. 1619-23, 1625-31. Painted with assistance of Belarmino Lopez. Barbara Buhler Lynes."	
"1070"	"Untitled (Abstraction Green Line and Red Circle)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Painted with the assistance of Belarmino Lopez. Barbara Buhler Lynes."	
"1071"	"Mesa with Branch Outline"	"Remarks: Source of title: Label: printed, O'Keeffe (white). Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes."	
"1072"	"Mesa with Two Branches, New Mexico"	"Remarks: Source of title: Label: printed, O'Keeffe (white). Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes."	
"1073"	"Mesa with Branch New Mexico"	"Remarks: Source of title: Label: printed, O'Keeffe (white). Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes."	
"1074"	"Black Wash with Circle and Spots"	"Remarks: Source of title: Abiquiu Notebooks, The Georgia ^O'Keeffe Foundation AFTER 1977. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art. Painted with the assistance of Belarmino Lopez. Barbara Buhler Lynes."	
"1075"	"Untitled (Abstraction Red Wave with Circle)"	"Remarks: Source of title image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Painted with the assistance of Belarmino Lopez. Barbara Buhler Lynes."	
"1076"	"Untitled (Abstraction Red Wave with Circle)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Painted with the assistance of Belarmino Lopez. Barbara Buhler Lynes."	
"1077"	"Untitled (Abstraction Four Green Lines with Red)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Painted with the assistance of Belarmino Lopez. Barbara Buhler Lynes."	
"1078"	"Untitled (Abstraction Two Green Lines Small Red Circle)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Painted with the assistance of Belarmino Lopez. Verso of cat. no. 1640. Barbara Buhler Lynes."	
"1079"	"Untitled (Abstraction Pine Tree)"	"Remarks: Source of title: Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes."	
