System ID	Primary Prod Date	Primary Production Earliest Latest Dates	Primary Production Place	Production General Notes	Primary Maker ID	Primary Maker name role	Secondary Maker ID	Secondary Maker and Role	Secondary Prod Date only	Secondary Prod Location only	Secondary Prod Notes only	Primary Production Place URI	Primary Production Role only	Production General Notes	Primary Production Technique
"1012"	"1937"	"Jan 01 1937   Dec 31 1937"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1013"	"1938"	"Jan 01 1938   Dec 31 1938"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1014"	"1941"	"Jan 01 1941   Dec 31 1941"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1015"	"1941"	"Jan 01 1941   Dec 31 1941"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1016"	"1941"	"Jan 01 1941   Dec 31 1941"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1017"	"1941"	"Jan 01 1941   Dec 31 1941"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1018"	"1941"	"Jan 01 1941   Dec 31 1941"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1020"	"1941"				"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1021"	"1942"			"Paints are applied thinly, in cram-like consistencies with brighter values retaining some brush texture.  Whites in the lower parts of the composition are textured using a palette knife.  The artist also thinned some painted areas to lighten effects, either with a cloth or with fingers.  Whites appear to be largely zinc, displaying a light autofluorescence through the varnish under UV illumination."	"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"								"Paints are applied thinly, in cram-like consistencies with brighter values retaining some brush texture.  Whites in the lower parts of the composition are textured using a palette knife.  The artist also thinned some painted areas to lighten effects, either with a cloth or with fingers.  Whites appear to be largely zinc, displaying a light autofluorescence through the varnish under UV illumination."	
"1022"	"1942"				"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1023"	"1943"	"Jan 01 1943   Dec 31 1943"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1024"	"1943"	"Jan 01 1943   Dec 31 1943"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1025"	"1943"			"Artist's colors appear to be painted directly over proprietary priming.  Most bright values appear to be mixed with zinc white. Paints have been applied as stiff pastes that record the ridges of the brushwork."	"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"								"Artist's colors appear to be painted directly over proprietary priming.  Most bright values appear to be mixed with zinc white. Paints have been applied as stiff pastes that record the ridges of the brushwork."	
"1026"	"1943"				"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1027"	"1945"				"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1028"	"1946"				"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1029"	"1948"	"Jan 01 1948   Dec 31 1948"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"103"	"1923"	"Jan 01 1923   Dec 31 1923"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1030"	"ca. 1949"	"Jan 01 1944   Dec 31 1954"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1031"	"1940s-1950s"	"Jan 01 1940   Dec 31 1959"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1032"	"1950"	"Jan 01 1950   Dec 31 1950"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1033"	"1950"	"Jan 01 1950   Dec 31 1950"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1034"	"1950"	"Jan 01 1950   Dec 31 1950"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1035"	"1952"	"Jan 01 1952   Dec 31 1952"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1036"	"1952"	"Jan 01 1952   Dec 31 1952"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1037"	"1948"				"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1038"	"ca. 1952"	"Jan 01 1947   Dec 31 1957"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1039"	"1953"	"Jan 01 1953   Dec 31 1953"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"104"	"1917"	"Jan 01 1917   Dec 31 1917"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1040"	"1953"	"Jan 01 1953   Dec 31 1953"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1041"	"1954"	"Jan 01 1954   Dec 01 1954"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1042"	"1956"	"Jan 01 1956   Dec 31 1956"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1043"	"1957"	"Jan 01 1957   Dec 31 1957"		"Fine, plain-weave linen canvas attached to textured ""beaverboard"" type wallboard panel. entire panel primed recto and verso.  Verso appears to be lead white and zinc white in oil.  Recto priming appears to have titanium white in oil priming.  Paints are shades of zinc white in oil."	"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"								"Fine, plain-weave linen canvas attached to textured ""beaverboard"" type wallboard panel. entire panel primed recto and verso.  Verso appears to be lead white and zinc white in oil.  Recto priming appears to have titanium white in oil priming.  Paints are shades of zinc white in oil."	
"1044"	"1957"	"Jan 01 1957   Dec 31 1957"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1045"	"1957"	"Jan 01 1957   Dec 31 1957"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1046"	"ca. 1957"	"Jan 01 1952   Dec 31 1962"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1047"	"1959"	"Jan 01 1959   Dec 31 1959"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1048"	"1959"	"Jan 01 1959   Dec 31 1959"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1049"	"1959"	"Jan 01 1959   Dec 31 1959"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"105"	"1916"	"Jan 01 1916   Dec 31 1916"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1050"	"1960-1964"	"Jan 01 1960   Dec 31 1964"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1051"	"1961"	"Jan 01 1961   Dec 31 1961"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1052"	"1962"				"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1053"	"1963-1971"	"Jan 01 1963   Dec 31 1971"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1054"	"ca. 1965"	"Jan 01 1960   Dec 31 1970"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1055"	"ca. 1965"	"Jan 01 1960   Dec 31 1970"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1056"	"ca. 1965"	"Jan 01 1960   Dec 31 1970"		"Generally matte to semi-gloss paints are applied thinly over a thin, absorbent ground with the texture of the canvas contributing to the overall aesthetic of the surface only in the central, lighter values.  For the most part, paints are translucent to semi, opaque, with the white ground visible through even the brighter values.  The paints appear to have been applied in cream consistencies with slightly raised ridges of paint pushed at the edges of forms.  There are frequent areas at the margins of the forms where the paints do not meet and leave white priming exposed.  There is some indication of faint graphite underdrawing.  The work has thin coat of glossy synthetic varnish, overall, which appears to have saturated the darker values."	"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"								"Generally matte to semi-gloss paints are applied thinly over a thin, absorbent ground with the texture of the canvas contributing to the overall aesthetic of the surface only in the central, lighter values.  For the most part, paints are translucent to semi, opaque, with the white ground visible through even the brighter values.  The paints appear to have been applied in cream consistencies with slightly raised ridges of paint pushed at the edges of forms.  There are frequent areas at the margins of the forms where the paints do not meet and leave white priming exposed.  There is some indication of faint graphite underdrawing.  The work has thin coat of glossy synthetic varnish, overall, which appears to have saturated the darker values."	
"1057"	"1972"	"Jan 01 1972   Dec 31 1972"		"09.13.06 DPK initial exam:  Generally matte paints are applied thinly over an absorbent ground with the texture of the canvas contributing to the overall aesthetic of the surface.  The paints appear to have been applied as soft pastes which record ridges of brush work in the light blues and blacks.  There are many holidays or tiny interstices in the weave where applied paints skipped across, exposing white priming, beneath.  This is especially true across the lower half of the work.  Brush work generally follows the horizontal fields of color.  The work does not appear to have been varnished."	"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"								"09.13.06 DPK initial exam:  Generally matte paints are applied thinly over an absorbent ground with the texture of the canvas contributing to the overall aesthetic of the surface.  The paints appear to have been applied as soft pastes which record ridges of brush work in the light blues and blacks.  There are many holidays or tiny interstices in the weave where applied paints skipped across, exposing white priming, beneath.  This is especially true across the lower half of the work.  Brush work generally follows the horizontal fields of color.  The work does not appear to have been varnished."	
"1058"	"1976"	"Jan 01 1976   Dec 31 1976"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1059"	"1976"	"Jan 01 1976   Dec 31 1976"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1060"	"1976"	"Jan 01 1976   Dec 31 1976"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1061"	"1976"	"Jan 01 1976   Dec 31 1976"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1062"	"1976"	"Jan 01 1976   Dec 31 1976"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1063"	"1976-1977"	"Jan 01 1976   Dec 31 1977"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1064"	"1976-1977"	"Jan 01 1976   Dec 31 1977"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1065"	"1976-1977"	"Jan 01 1976   Dec 31 1977"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1066"	"1976-1977"	"Jan 01 1976   Dec 31 1977"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1067"	"1976-1977"	"Jan 01 1976   Dec 31 1977"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1068"	"1976-1977"	"Jan 01 1976   Dec 31 1977"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1069"	"1976-1977"	"Jan 01 1976   Dec 31 1977"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1070"	"1978"	"Jan 01 1978   Dec 31 1978"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1071"	"1978"	"Jan 01 1978   Dec 31 1978"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1072"	"1978"	"Jan 01 1978   Dec 31 1978"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1073"	"1978"	"Jan 01 1978   Dec 31 1978"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1074"	"1978"	"Jan 01 1978   Dec 31 1978"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1075"	"1979"	"Jan 01 1979   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1076"	"1979"	"Jan 01 1979   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1077"	"1979"	"Jan 01 1979   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1078"	"1979"	"Jan 01 1979   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1079"	"1979"	"Jan 01 1979   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1080"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1081"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1082"	"1940s"	"Jan 01 1940   Dec 31 1949"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1083"	"1940s"	"Jan 01 1940   Dec 31 1949"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1084"	"ca. 1936"	"Jan 01 1931   Dec 31 1941"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1085"	"1929-1930"	"Jan 01 1929   Dec 31 1930"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1086"	"1929"	"Jan 01 1929   Dec 31 1929"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1087"	"1935"	"Jan 01 1935   Dec 31 1935"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1088"	"1936"	"Jan 01 1936   Dec 31 1936"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1089"	"1936"	"Jan 01 1936   Dec 31 1936"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1090"	"1930"	"Jan 01 1930   Dec 31 1930"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1091"	"1917"	"Jan 01 1917   Dec 31 1917"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1092"	"1917"	"Jan 01 1917   Dec 31 1917"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1093"	"1920"	"Jan 01 1920   Dec 31 1920"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1094"	"1921"	"Jan 01 1921   Dec 31 1921"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1096"	"ca. 1929-ca. 1930"	"Jan 01 1929   Dec 31 1930"			"367"	"Oscar Bluemner (German, b.1867, d.1938)   Artist"									
"1097"	"1923"	"Jan 01 1923   Dec 31 1923"			"369"	"Stuart Davis (American, b.1892, d.1964)   Artist"									
"1098"	"1918"				"370"	"Marsden Hartley (b.1877, d.1943)   Artist"									
"1099"	"1917"	"Jan 01 1917   Dec 31 1917"	"New York City/New York   "		"260"	"Alfred Stieglitz (American, b.1864, d.1946)   Photographer"									
"11"	"1962"	"Jan 01 1962   Dec 31 1962"	"Ghost Ranch/New Mexico   "		"1155"	"Todd Webb (American, b.1905, d.2000)   Photographer"									
"1100"	"1918"	"Jan 01 1918   Dec 31 1918"			"260"	"Alfred Stieglitz (American, b.1864, d.1946)   Photographer"									
"1103"	"1919"	"Jan 01 1919   Dec 31 1919"			"260"	"Alfred Stieglitz (American, b.1864, d.1946)   Photographer"									
"1148"	"1939"	"Jan 01 1939   Dec 31 1939"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1149"	"1970s"	"Jan 01 1970   Dec 31 1970"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1150"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1151"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1152"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1153"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1154"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1155"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1156"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1157"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1158"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1159"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1160"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1161"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1162"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1163"	"1918"	"Jan 01 1918   Dec 31 1918"	"New York   "		"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1164"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1165"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1166"	"1970s"	"Jan 01 0970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1168"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1169"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1170"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1171"	"1970s"	"Jan 01 1970   Dec 31 1979"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1173"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1174"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1175"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1176"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1177"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1178"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1179"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1180"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1181"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1182"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1183"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1184"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1185"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1186"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1187"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1188"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1189"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1190"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1191"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1192"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1193"	"1901-1902"	"Jan 01 1901   Dec 31 1902"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1194"	"1905-1906"	"Jan 01 1905   Dec 31 1906"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1195"	"1905-1906"	"Jan 01 1905   Dec 31 1906"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1196"	"1905-1906"	"Jan 01 1905   Dec 31 1906"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1197"	"1905-1906"	"Jan 01 1905   Dec 31 1906"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1198"	"1905-1906"	"Jan 01 1905   Dec 31 1906"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1199"	"1905-1906"	"Jan 01 1905   Dec 31 1906"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"12"	"1959"	"Jan 01 1959   Dec 31 1959"	"Ghost Ranch/New Mexico   "		"1155"	"Todd Webb (American, b.1905, d.2000)   Photographer"									
"1200"	"1905-1906"	"Jan 01 1905   Dec 31 1906"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1201"	"1919"	"Jan 01 1919   Dec 31 1919"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1202"	"1925-1932"	"Jan 01 1925   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1203"	"1925-1932"	"Jan 01 1925   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1204"	"1925-1932"	"Jan 01 1925   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1205"	"1925-1932"	"Jan 01 1925   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1206"	"1925-1932"	"Jan 01 1925   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1207"	"1925-1932"	"Jan 01 1925   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1208"	"1925-1932"	"Jan 01 1925   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1209"	"1925-1932"	"Jan 01 1925   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1210"	"1932"	"Jan 01 1932   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1211"	"1934"	"Jan 01 1934   Dec 31 1934"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1212"	"1934"	"Jan 01 1934   Dec 31 1934"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1213"	"1934"	"Jan 01 1934   Dec 31 1934"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1214"	"1934"	"Jan 01 1934   Dec 31 1934"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1216"	"1940"	"Jan 01 1940   Dec 31 1940"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1217"	"ca. 1940"	"Jan 01 1935   Dec 31 1945"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1218"	"1941"	"Jan 01 1941   Dec 31 1941"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1219"	"1945"	"Jan 01 1945   Dec 31 1945"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"122"	"1945"	"Jan 01 1945   Dec 31 1945"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1220"	"1946, 1979-1980"	"Jan 01 1946   Dec 01 1946, Jan 01 1979   Dec 31 1980"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
