System ID	EventAsscPlaceID	EventAsscObjectID	EventAsscPersonID	Name	Event short summary	Type	Date	Time	Period	Date Earliest	Date Latest	Date Notes	Place	Place Notes	Person	Person Role	Person Notes	Object	Object Notes	Event	Event Notes	Concept	Concept Notes	Consequence	Document	Document Notes	Correspondence	Photo Audio-Visual Ref	Photo Audio-Visual Notes	Primary Image	Image Publication Status	User Authority 1	User Authority 2	User Authority 3	User Authority 4	User Authority 5	User Defined Value 1	User Defined Value 2	User Defined Value 3	User Defined Value 4	User Defined Value 5	User Defined Text 1	User Defined Text 2	User Defined Text 3	User Defined Text 4	User Defined Text 5	User Authority 1 AMV	User Authority 1 AMV <Not in use>	User Authority 1 AMV Date	User Authority 1 AMV Notes	User Authority 2 AMV	User Authority 2 AMV <Not in use>	User Authority 2 AMV Date	User Authority 2 AMV Notes	User Authority 3 AMV	User Authority 3 AMV <Not in use>	User Authority 3 AMV Date	User Authority 3 AMV Notes	User Authority 4 AMV	User Authority 4 AMV <Not in use>	User Authority 4 AMV Date	User Authority 4 AMV Notes	User Authority 5 AMV	User Authority 5 AMV <Not in use>	User Authority 5 AMV Date	User Authority 5 AMV Notes	Short Name	Long Name	Definition	Images	Image Ref - Full path	Image Ref - Relative path	External File	External File Category	External File Notes	Web Address	Next Higher Term	Hierarchical Level	Sequence	Hierarchical Levels Summary	Ascending Hierarchy	<System Flag>:Ascending Name	<System Flag>:Descending Name	<System Flag>:Name	Descending Hierarchy	Current Status	Status History	Status History Date	Updated By	Update Time	Management Flag	Flag Note	Term Usage Control	System Note	Manager Note	Cataloguer	Date Catalogued	Authority Source	Authority Source Note	Originating Database	Originating Date	Originating No	Record Size
"165"	"USA"		"2"	"""Vogue"" magazine publishes an article about Georgia O'Keeffe describing her work as an antecedent to Color Field Abstraction."	"""Vogue"" magazine publishes an article about Georgia O'Keeffe describing her work as an antecedent to Color Field Abstraction.; 1967; United States of America/North America"	"Georgia O'Keeffe"	"1967"			"Jan 01 1967"	"Dec 31 1967"		"United States of America/North America"		"Georgia O'Keeffe"	"Subject"															"No image"																																				"""Vogue"" magazine publishes an article about Georgia O'Keeffe describing her work as an antecedent to Color Field Abstraction."	"""Vogue"" magazine publishes an article about Georgia O'Keeffe describing her work as an antecedent to Color Field Abstraction."	"""Vogue"" magazine publishes an article about Georgia O’Keeffe describing her work as an antecedent to Color Field Abstraction. Cecil Beaton provides photographs for the spread, featuring O’Keeffe in a black kimono."											"               ""Vogue"" magazine publishe 165            "	"""Vogue"" magazine publishes an article about Georgia O'Keeffe describing her work as an antecedent to Color Field Abstraction."	"""Vogue"" magazine publishes an article about Georgia O'Keeffe describing her work as an antecedent to Color Field Abstraction."	"""Vogue"" magazine publishes an article about Georgia O'Keeffe describing her work as an antecedent to Color Field Abstraction."	"""Vogue"" magazine publishes an article about Georgia O'Keeffe describing her work as an antecedent to Color Field Abstraction."	"""Vogue"" magazine publishes an article about Georgia O'Keeffe describing her work as an antecedent to Color Field Abstraction."	"Candidate"	"Candidate"	"Feb 23 2017"	"EBRINDLEY, EBRINDLEY"	"Feb 23 2017, Feb 21 2017"													"476"
"213"	"USA"			"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans."	"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans.; 1925; United States of America/North America"	"Arts Events"	"1925"			"Jan 01 1925"	"Dec 31 1925"		"United States of America/North America"																		"No image"																																				"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans."	"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans."	"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans."											"               Alain Locke publishes, ""T 213            "	"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans."	"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans."	"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans."	"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans."	"Alain Locke publishes, ""The New Negro,"" a collection of writings by African Americans."	"Candidate"			"EBRINDLEY"	"Feb 23 2017"													"281"
"139"	"1279"		"2"	"Alfred Barr, MoMA director, pronounces Georgia O'Keeffe's paintings as ""among the most memorable in American art."""	"Alfred Barr, MoMA director, pronounces Georgia O'Keeffe's paintings as ""among the most memorable in American art.""; 1954; Museum of Modern Art/New York City/New York"	"Georgia O'Keeffe"	"1954"			"Jan 01 1954"	"Dec 31 1954"		"Museum of Modern Art/New York City/New York"		"Georgia O'Keeffe"	"Subject"															"No image"																																				"Alfred Barr, MoMA director, pronounces Georgia O'Keeffe's paintings as ""among the most memorable in American art."""	"Alfred Barr, MoMA director, pronounces Georgia O'Keeffe's paintings as ""among the most memorable in American art."""	"Alfred Barr, MoMA director, pronounces: “Georgia O’Keeffe has produced few abstract paintings but they are among the most memorable in American art…she has the gift of isolating and intensifying the thing seen, or destroys its scale, until it loses its identity in an ambiguous but always precise beauty.”"											"               Alfred Barr, MoMA directo 139            "	"Alfred Barr, MoMA director, pronounces Georgia O'Keeffe's paintings as ""among the most memorable in American art."""	"Alfred Barr, MoMA director, pronounces Georgia O'Keeffe's paintings as ""among the most memorable in American art."""	"Alfred Barr, MoMA director, pronounces Georgia O'Keeffe's paintings as ""among the most memorable in American art."""	"Alfred Barr, MoMA director, pronounces Georgia O'Keeffe's paintings as ""among the most memorable in American art."""	"Alfred Barr, MoMA director, pronounces Georgia O'Keeffe's paintings as ""among the most memorable in American art."""	"Candidate"	"Candidate"	"Feb 22 2017"	"EBRINDLEY, EBRINDLEY, EBRINDLEY"	"Feb 23 2017, Feb 22 2017, Feb 21 2017"													"573"
"48"	"USA"		"2, 260"	"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe."	"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe.; 1917; United States of America/North America"	"Georgia O'Keeffe"	"1917"			"Jan 01 1917"	"Dec 31 1917"		"United States of America/North America"		"Georgia O'Keeffe, Alfred Stieglitz"	"Subject, Subject"															"No image"																																				"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe."	"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe."	"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe. ^ ^O’Keeffe to Stieglitz, April 14, 1917: “I really never had a nicer surprise in my life than the [installation] photographs [that arrived] this morning….It was almost like going to 291— ”"											"               Alfred Stieglitz begins h 48             "	"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe."	"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe."	"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe."	"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe."	"Alfred Stieglitz begins his photographic portrait of Georgia O'Keeffe."	"Candidate"	"Candidate"	"Feb 21 2017"	"EBRINDLEY, EBRINDLEY, EBRINDLEY, EBRINDLEY"	"Feb 23 2017, Feb 21 2017, Feb 21 2017, Feb 16 2017"													"501"
"78"	"1277, 1231"		"260"	"Alfred Stieglitz closes the Intimate Gallery."	"Alfred Stieglitz closes the Intimate Gallery.; Oct 29 1929; Intimate Gallery/New York City/New York, American Place (Gallery)/New York City/New York"	"Arts Events"	"Oct 29 1929"			"Oct 29 1929"	"Oct 29 1929"		"Intimate Gallery/New York City/New York, American Place (Gallery)/New York City/New York"		"Alfred Stieglitz"	"Subject"															"No image"																																				"Alfred Stieglitz closes the Intimate Gallery."	"Alfred Stieglitz closes the Intimate Gallery."	"Alfred Stieglitz closes the Intimate Gallery and soon after opens An American Place, where he focuses on a showing American Modernists."											"               Alfred Stieglitz closes t 78             "	"Alfred Stieglitz closes the Intimate Gallery."	"Alfred Stieglitz closes the Intimate Gallery."	"Alfred Stieglitz closes the Intimate Gallery."	"Alfred Stieglitz closes the Intimate Gallery."	"Alfred Stieglitz closes the Intimate Gallery."	"Candidate"	"Candidate"	"Feb 22 2017"	"EEHRNST, EBRINDLEY, EBRINDLEY"	"May 04 2017, Feb 22 2017, Feb 16 2017"													"339"
"121"	"NY"		"260, 2"	"Alfred Stieglitz dies."	"Alfred Stieglitz dies.; Jul 13 1946; New York"	"Georgia O'Keeffe"	"Jul 13 1946"			"Jul 13 1946"	"Jul 13 1946"		"New York"		"Alfred Stieglitz, Georgia O'Keeffe"	"Subject, Subject"															"No image"																																				"Alfred Stieglitz dies."	"Alfred Stieglitz dies."	"Alfred Stieglitz dies. Georgia O’Keeffe spends the majority of the next two years in New York settling his estate."											"               Alfred Stieglitz dies.    121            "	"Alfred Stieglitz dies."	"Alfred Stieglitz dies."	"Alfred Stieglitz dies."	"Alfred Stieglitz dies."	"Alfred Stieglitz dies."	"Candidate"	"Candidate"	"Feb 23 2017"	"EBRINDLEY, EBRINDLEY"	"Feb 23 2017, Feb 17 2017"													"279"
"42"	"1259"		"2, 260"	"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291."""	"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291.""; May 23 1916; ""291""/New York City/New York"	"Georgia O'Keeffe"	"May 23 1916"			"May 23 1916"	"May 23 1916"		"""291""/New York City/New York"		"Georgia O'Keeffe, Alfred Stieglitz"	"Subject, Subject"															"No image"																																				"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291."""	"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291."""	"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291."" ^ ^“Mr. Stieglitz: If you remember for a week—why you liked my charcoals that Anita Pollitzer showed you—and what they said to you—I would like to know if you want to tell me…. I ask because I wonder if I got over to anyone what I want to say.” - Georgia O'Keeffe"											"               Alfred Stieglitz exhibits 42             "	"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291."""	"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291."""	"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291."""	"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291."""	"Alfred Stieglitz exhibits ten of Georgia O'Keeffe's abstract drawings at ""291."""	"Candidate"	"Candidate"	"Feb 21 2017"	"EBRINDLEY, EBRINDLEY, EBRINDLEY"	"Feb 22 2017, Feb 21 2017, Feb 16 2017"													"582"
"14"	"1259"		"260, 530"	"Alfred Stieglitz opens ""291."""	"Alfred Stieglitz opens ""291.""; 1905; ""291""/New York City/New York"	"Arts Events"	"1905"			"Jan 01 1905"	"Dec 31 1905"		"""291""/New York City/New York"		"Alfred Stieglitz, Edward Steichen"	"Subject, Subject"															"No image"																																				"Alfred Stieglitz opens ""291."""	"Alfred Stieglitz opens ""291."""	"With the help of Edward Steichen, Alfred Stieglitz opens a gallery located on 291 Fifth Avenue in New York City. Eventually it became known as ""291."""											"               Alfred Stieglitz opens ""2 14             "	"Alfred Stieglitz opens ""291."""	"Alfred Stieglitz opens ""291."""	"Alfred Stieglitz opens ""291."""	"Alfred Stieglitz opens ""291."""	"Alfred Stieglitz opens ""291."""	"Candidate"	"Candidate"	"Feb 15 2017"	"EEHRNST, EBRINDLEY, EBRINDLEY, EBRINDLEY, EBRINDLEY"	"May 04 2017, Feb 23 2017, Feb 17 2017, Feb 15 2017, Feb 15 2017"													"367"
"214"				"Alfred Stieglitz opens An American Place."	"Alfred Stieglitz opens An American Place.; 1929"	"Arts Events"	"1929"			"Jan 01 1929"	"Dec 31 1929"																				"No image"																																				"Alfred Stieglitz opens An American Place."	"Alfred Stieglitz opens An American Place."	"Alfred Stieglitz opens An American Place, where he focuses on showing American Modernists."											"               Alfred Stieglitz opens An 214            "	"Alfred Stieglitz opens An American Place."	"Alfred Stieglitz opens An American Place."	"Alfred Stieglitz opens An American Place."	"Alfred Stieglitz opens An American Place."	"Alfred Stieglitz opens An American Place."	"Candidate"			"EBRINDLEY"	"Feb 23 2017"													"231"
"71"	"1277"		"260, 2"	"Alfred Stieglitz opens the Intimate Gallery."	"Alfred Stieglitz opens the Intimate Gallery.; Dec 1925; Intimate Gallery/New York City/New York"	"Arts Events"	"Dec 1925"			"Dec 01 1925"	"Dec 31 1925"		"Intimate Gallery/New York City/New York"		"Alfred Stieglitz, Georgia O'Keeffe"	"Subject, Associated"															"No image"																																				"Alfred Stieglitz opens the Intimate Gallery."	"Alfred Stieglitz opens the Intimate Gallery."	"Alfred Stieglitz opens the Intimate Gallery, a space dedicated to American Modernism. Georgia O’Keeffe exhibits her works in annual shows. She also supervises all gallery installations."											"               Alfred Stieglitz opens th 71             "	"Alfred Stieglitz opens the Intimate Gallery."	"Alfred Stieglitz opens the Intimate Gallery."	"Alfred Stieglitz opens the Intimate Gallery."	"Alfred Stieglitz opens the Intimate Gallery."	"Alfred Stieglitz opens the Intimate Gallery."	"Candidate"	"Candidate"	"Feb 22 2017"	"EEHRNST, EBRINDLEY, EBRINDLEY, EBRINDLEY"	"May 04 2017, Feb 22 2017, Feb 22 2017, Feb 16 2017"													"403"
"62"	"1309"		"260, 2"	"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O'Keeffe's artwork at Anderson Galleries."	"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O'Keeffe's artwork at Anderson Galleries.; Jan 29 1923-1946; Anderson Galleries/New York City/New York"	"Georgia O'Keeffe"	"Jan 29 1923-1946"			"Jan 29 1923"	"Dec 31 1946"		"Anderson Galleries/New York City/New York"		"Alfred Stieglitz, Georgia O'Keeffe"	"Subject, Subject"															"No image"																																				"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O'Keeffe's artwork at Anderson Galleries."	"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O'Keeffe's artwork at Anderson Galleries."	"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O’Keeffe’s artwork, and her second solo exhibition ever, at Anderson Galleries; this continues yearly until his death in 1946. The show includes over one hundred artworks."											"               Alfred Stieglitz organize 62             "	"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O'Keeffe's artwork at Anderson Galleries."	"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O'Keeffe's artwork at Anderson Galleries."	"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O'Keeffe's artwork at Anderson Galleries."	"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O'Keeffe's artwork at Anderson Galleries."	"Alfred Stieglitz organizes the first annual solo exhibition of Georgia O'Keeffe's artwork at Anderson Galleries."	"Candidate"	"Candidate"	"Feb 22 2017"	"EEHRNST, EBRINDLEY, EBRINDLEY"	"May 04 2017, Feb 22 2017, Feb 16 2017"													"520"
