System ID	Record Type	Name Type only	Title only	Firstname only	Known As only	Lastname only	Date Born Est	Date Died Ceased	Gender	Nationality	Biographical Display	Primary Occupation	Related Person System ID	Related Person Details	Originating Database	External File Details	Person URI	Cataloguer
"1533"	"Corporate"	"Preferred, Former"				"Jeu de Paume, Museé du Jeu de Paume"	"1909"			"French"		"Art Museum"			"Union List of Artist Names   Mar 07 2019   500310007"	"http://vocab.getty.edu/ulan/500310007   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500310007"	"Debbie Garcia-Orona (Santa Fe)   Mar 07 2019"
"1432"	"Corporate"	"Preferred, Former, Former, Former"				"Modern Art Museum of Fort Worth, Fort Worth Art Association, The Art Center, Fort Worth, The Fort Worth art Center"	"1892"					"Art Museum"			"LC Name Authority File   Apr 18 2019   n82055521"	"http://id.loc.gov/authorities/names/n82055521   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/n82055521"	"Debbie Garcia-Orona (Santa Fe)   Apr 18 2019"
"335"	"Corporate"	"Former, Preferred"				"Montgomery Museum of Art, Montgomery Museum of Fine Arts"	"1930"			"American"	"The Montgomery Museum of Fine Arts is a museum located in Montgomery, Alabama, USA, featuring several art collections. The permanent collection includes examples of 19th- and 20th-century American paintings and sculpture, Southern regional art, Old Master prints and decorative arts. It is also home to ARTWORKS, a participatory art gallery and studio for children. ^The current building was designed by the Montgomery architectural firm of Barganier, Davis, and Sims and opened in 1988. An addition was completed in 1993. (Sourced from Wikipedia, January 2020)"	"Art Museum"			"LC Name Authority File   Apr 09 2019   n79093335"	"http://id.loc.gov/authorities/names/n79093335   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/n79093335"	"Debbie Garcia-Orona (Santa Fe)   Apr 09 2019"
"1559"	"Corporate"	"Preferred, Former"				"Munson-Williams-Proctor Arts Institute, Munson-Williams-Proctor Institute"	"1919"			"American"	"The Munson-Williams-Proctor Arts Institute (MWPAI) is a regional fine arts center founded in 1919 and located in Utica, New York. The institute has three program divisions: ^ ^Museum of art ^Performing arts ^School of art (Sourced from Wikipedia, January 2020)"	"Art Museum"			"LC Name Authority File   Apr 17 2019   n80019523"	"http://id.loc.gov/authorities/names/n80019523   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/n80019523"	"Debbie Garcia-Orona (Santa Fe)   Apr 17 2019"
"1534"	"Corporate"	"Former, Preferred, Acronym"				"Art Institute of Jacksonville, Museum of Contemporary Art Jacksonville, MOCA"	"1924"			"American"		"Art Museum"			"LC Name Authority File   Mar 12 2019   no2011152535"	"http://id.loc.gov/authorities/names/no2011152535   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/no2011152535"	"Debbie Garcia-Orona (Santa Fe)   Mar 12 2019"
"1087"	"Corporate"	"Preferred"				"Nevada Museum of Art"												
"1593"	"Corporate"	"Former, Preferred"				"Randolph-Macon Woman's College, Randolph College"	"1891"								"LC Name Authority File   May 15 2019   n50061918"	"http://id.loc.gov/authorities/names/n50061918   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/n50061918"	"Debbie Garcia-Orona (Santa Fe)   May 15 2019"
"1571"	"Corporate"	"Preferred, Former, Acronym"				"Rhode Island School of Design, Museum of Art, Rhode Island School of Design, RISD MUSEUM"	"1877"			"American"								
"1548"	"Corporate"	"Preferred"				"Richmond Art Institute"												
"1551"	"Corporate"	"Preferred, Former"				"The Speed Art Museum, J. B. Speed Memorial Museum"	"1927"			"American"		"Art Museum"			"LC Name Authority File   Apr 11 2019   nr2003018336"	"http://id.loc.gov/authorities/names/nr2003018336   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/nr2003018336"	"Debbie Garcia-Orona (Santa Fe)   Apr 11 2019"
"1596"	"Corporate"	"Preferred"				"Stedelijk Museum"	"1874"				"The Stedelijk Museum Amsterdam (Dutch pronunciation: [ˌsteːdələk myˌzeːjʏm ˌɑmstərˈdɑm]; Municipal Museum Amsterdam), colloquially known as the Stedelijk, is a museum for modern art, contemporary art, and design located in Amsterdam, Netherlands.The 19th century building was designed by Adriaan Willem Weissman and the 21st century wing with the current entrance was designed by Benthem Crouwel Architects. It is located at the Museum Square in the borough Amsterdam South, where it is close to the Van Gogh Museum, the Rijksmuseum, and the Concertgebouw.The collection comprises modern and contemporary art and design from the early 20th century up to the 21st century. It features artists such as Vincent van Gogh, Wassily Kandinsky, Ernst Ludwig Kirchner, Marc Chagall, Henri Matisse, Jackson Pollock, Karel Appel, Andy Warhol, Willem de Kooning, Marlene Dumas, Lucio Fontana, and Gilbert & George.In 2015, the museum had an estimated 675,000 visitors. (Sourced from Wikipedia, January 2020)"	"Art Museum"			"Union List of Artist Names   May 21 2019   500220995"	"http://vocab.getty.edu/ulan/500220995   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500220995"	"Debbie Garcia-Orona (Santa Fe)   May 21 2019"
"796"	"Corporate"	"Business"				"Tate Modern"	"May 2000"				"Tate Modern is a modern art gallery located in London. It is Britain's national gallery of international modern art and forms part of the Tate group (together with Tate Britain, Tate Liverpool, Tate St Ives and Tate Online). It is based in the former Bankside Power Station, in the Bankside area of the London Borough of Southwark. Tate holds the national collection of British art from 1900 to the present day and international modern and contemporary art. Tate Modern is one of the largest museums of modern and contemporary art in the world. As with the UK's other national galleries and museums, there is no admission charge for access to the collection displays, which take up the majority of the gallery space, while tickets must be purchased for the major temporary exhibitions. The gallery is a highly visited museum, pulling in approximately 5.8 million visitors in 2018. (Sourced from Wikipedia, January 2020)"	"Art Museum"			"LC Name Authority File   Apr 23 2019   nr00020575"	"http://id.loc.gov/authorities/names/nr00020575   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/nr00020575"	"Debbie Garcia-Orona (Santa Fe)   Apr 23 2019"
"1582"	"Corporate"	"Preferred"				"Toledo Museum of Art"	"1901"				"The Toledo Museum of Art is an internationally known art museum located in the Old West End neighborhood of Toledo, Ohio, United States. It houses a collection of more than 30,000 objects. The museum was founded by Toledo glassmaker Edward Drummond Libbey in 1901, and moved to its current location, a Greek revival building designed by Edward B. Green and Harry W. Wachter, in 1912. The main building was expanded twice, in the 1920s and 1930s.  Other buildings were added in the 1990s and 2006. ^Effective July 1, 2019 John Stanley is serving as the interim director as the board conducts an international search for the 10th director. (Sourced from Wikipedia, January 2020)"	"Art Museum"			"Union List of Artist Names   May 08 2019   500245395"	"http://vocab.getty.edu/ulan/500245395   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500245395"	"Debbie Garcia-Orona (Santa Fe)   May 08 2019"
"1807"	"Corporate"	"Preferred"				"Alfred A. Knopf"	"1915"				"Alfred A. Knopf, Inc. () is an American publishing house that was founded by Alfred A. Knopf Sr. and Blanche Knopf in 1915. Blanche and Alfred traveled abroad regularly and were known for publishing European, Asian, and Latin American writers in addition to leading American literary trends. It was acquired by Random House in 1960, which was later acquired by Bertelsmann in 1998, and is now part of the Knopf Doubleday Publishing Group. The Knopf publishing house is associated with its borzoi colophon, which was designed by co-founder Blanche Knopf in 1925. (Sourced from Wikipedia, January 2020)"	"Publisher"			"LC Name Authority File      n50062227"	"http://id.loc.gov/authorities/names/n50062227   LOD Equivalent URI   , http://data.okeeffemuseum.org/actor/knopf-   Proxy for, http://data.okeeffemuseum.org/actor/knopf   Proxy for, http://data.okeeffemuseum.org/actor/a-a-knopf-   Proxy for, http://data.okeeffemuseum.org/actor/a-a-knopf   Proxy for, http://data.okeeffemuseum.org/actor/alfred-a-knopf   Proxy for"	"http://id.loc.gov/authorities/names/n50062227"	
"1399"	"Corporate"	"Preferred, Former"				"University of New Mexico Art Museum, Art Gallery, The University of New Mexico"	"1963"			"American"	"The University of New Mexico Art Museum (sometimes referred to as the University Art Museum or UNM Art Museum) is an art museum at the University of New Mexico in Albuquerque. The museum's permanent collection includes nearly 30,000 objects, making it the largest collection of fine art in New Mexico. (Sourced from Wikipedia August 2019)"	"Art Museum"			"Union List of Artist Names      500304907"	"http://vocab.getty.edu/ulan/500304907   LOD Equivalent URI   , http://data.okeeffemuseum.org/actor/art-museum-university-of-new-mexico/   Proxy for, http://data.okeeffemuseum.org/actor/university-art-museum-university-of-new-mexico/   Proxy for"	"http://vocab.getty.edu/ulan/500304907"	"Sherri Sorensen   May 24 2018"
"1748"	"Person"			"Ludwig"	"Ludwig"	"Mies van der Rohe"					"Ludwig Mies van der Rohe ( MEESS; German: [miːs]; born Maria Ludwig Michael Mies; March 27, 1886 – August 17, 1969) was a German-American architect. He was commonly referred to as Mies, his surname. Along with Alvar Aalto, Le Corbusier, Walter Gropius and Frank Lloyd Wright, he is regarded as one of the pioneers of modernist architecture. ^Mies was the last director of the Bauhaus, a seminal school in modern architecture. After Nazism's rise to power, with its strong opposition to modernism (leading to the closing of the Bauhaus itself), Mies emigrated to the United States. He accepted the position to head the architecture school at the Armour Institute of Technology (later the Illinois Institute of Technology), in Chicago. ^Mies sought to establish his own particular architectural style that could represent modern times just as Classical and Gothic did for their own eras. He created his own twentieth-century architectural style, stated with extreme clarity and simplicity. His mature buildings made use of modern materials such as industrial steel and plate glass to define interior spaces, as also  conducted by other modernist architects in the 1920s and 1930s such as Richard Neutra. Mies strove toward an architecture with a minimal framework of structural order balanced against the implied freedom of unobstructed free-flowing open space. He called his buildings ""skin and bones"" architecture. He sought an objective approach that would guide the creative process of architectural design, but was always concerned with expressing the spirit of the modern era. He is often associated with his fondness for the aphorisms, ""less is more"" and ""God is in the details"". (Sourced from Wikipedia, January 2020)"				"Union List of Artist Names      500006293"	"http://vocab.getty.edu/ulan/500006293   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500006293"	
"1749"	"Person"			"Alexander"	"Alexander"	"Calder"					"Alexander Calder (; July 22, 1898 – November 11, 1976) was an American sculptor who is best known for his innovative mobiles (kinetic sculptures powered by motors or air currents) that embrace chance in their aesthetic and his monumental public sculptures. Born into a family of artists, Calder's work first gained attention in Paris in the 1920s and was soon championed by the Museum of Modern Art in New York, resulting in a retrospective exhibition in 1943. Major retrospectives were also held at the Solomon R. Guggenheim Museum (1964) and the Museum of Contemporary Art, Chicago (1974). ^Calder's work is in many permanent collections, most notably in the Whitney Museum of American Art, but also the Guggenheim Museum; the Museum of Modern Art; the National Gallery of Art, Washington, D.C.; and the Centre Georges Pompidou. He produced many large public works, including .125 (at JFK Airport, 1957), Pittsburgh (Carnegie International prize winner 1958, Pittsburgh International Airport) Spirale (UNESCO in Paris, 1958), Flamingo and Universe (both in Chicago, 1974), and Mountains and Clouds (Hart Senate Office Building, Washington, D.C., 1996). ^Although primarily known for his sculpture, Calder also created paintings and prints, miniatures (such as his famous Cirque Calder), theater set design, jewelry design, tapestries and rugs, and political posters. Calder was honored by the US Postal Service with a set of five 32-cent stamps in 1998, and received the Presidential Medal of Freedom, posthumously in 1977, after refusing to receive it from Gerald Ford one year earlier in protest of the Vietnam War. ^An important work of Calder's is the monumental ""Floating Clouds"" (1952-1953) of the Aula Magna (Central University of Venezuela) of the University City of Caracas in Venezuela. This work is a Unesco World Heritage Site. Calder's clouds were specially designed to combine art and technology, making the auditorium one of the top 5 university auditoriums in the world by sound quality. (Sourced from Wikipedia, January 2020)"				"Union List of Artist Names      500007824"	"http://vocab.getty.edu/ulan/500007824   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500007824"	
"1750"	"Person"			"Karl"	"Karl"	"Knaths"					"Karl Knaths (October 21, 1891 – March 9, 1971) was an American artist whose personal approach to the Cubist aesthetic led him to create paintings which, while abstract, contained readily identifiable subjects. In addition to the Cubist painters, his work shows influence by Paul Cézanne, Wassily Kandinsky, Utagawa Kuniyoshi, Paul Klee, Stuart Davis, and Agnes Weinrich. It is nonetheless, in use of heavy line, rendering of depth, disciplined treatment of color, and architecture of planes, distinctly his own. (Sourced from Wikipedia, January 2020)"				"Union List of Artist Names      500007983"	"http://vocab.getty.edu/ulan/500007983   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500007983"	
"1751"	"Person"			"Rogier"	"Rogier"	"van der Weyden"					"Rogier van der Weyden (Dutch: [roːˈɣiːr vɑn dɛr ˈʋɛi̯də(n)]) or Roger de la Pasture (1399 or 1400 – 18 June 1464) was an Early Netherlandish painter whose surviving works consist mainly of religious triptychs, altarpieces and commissioned single and diptych portraits. He was highly successful and internationally famous in his lifetime; his paintings were exported – or taken – to Italy and Spain, and he received commissions from, amongst others, Philip the Good, Netherlandish nobility, and foreign princes. By the latter half of the 15th century, he had eclipsed Jan van Eyck in popularity. However his fame lasted only until the 17th century, and largely due to changing taste, he was almost totally forgotten by the mid-18th century. His reputation was slowly rebuilt during the following 200 years; today he is known, with Robert Campin and van Eyck, as the third (by birth date) of the three great Early Flemish artists (Vlaamse Primitieven or ""Flemish Primitives""), and widely as the most influential Northern painter of the 15th century.Very few details of van der Weyden's life are known. The few facts we know come from fragmentary civic records. Yet the attribution of paintings now associated to him is widely accepted, partly on the basis of circumstantial evidence, but primarily on the stylistic evidence of a number of paintings by an innovative master. ^Van der Weyden worked from life models, and his observations were closely observed. Yet he often idealised certain elements of his models' facial features, who were typically statuesque, especially in his triptychs. All of his forms are rendered with rich, warm colourisation and a sympathetic expression, while he is known for his expressive pathos and naturalism. His portraits tend to be half length and half profile, and he is as sympathetic here as in his religious triptychs. Van der Weyden used an unusually broad range of colours and varied tones; in his finest work the same tone is not repeated in any other area of the canvas, so even the whites are varied. (Sourced from Wikipedia, January 2020)"				"Union List of Artist Names      500008384"	"http://vocab.getty.edu/ulan/500008384   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500008384"	
"1752"	"Person"			"Isamu"	"Isamu"	"Noguchi"					"Isamu Noguchi (野口 勇, Noguchi Isamu, November 17, 1904  – December 30, 1988) was a Japanese American artist and landscape architect whose artistic career spanned six decades, from the 1920s onward. Known for his sculpture and public works, Noguchi also designed stage sets for various Martha Graham productions, and several mass-produced lamps and furniture pieces, some of which are still manufactured and sold. ^In 1947, Noguchi began a collaboration with the Herman Miller company, when he joined with George Nelson, Paul László and Charles Eames to produce a catalog containing what is often considered to be the most influential body of modern furniture ever produced, including the iconic Noguchi table which remains in production today. His work lives on around the world and at the Noguchi Museum in New York City. (Sourced from Wikipedia, January 2020)"				"Union List of Artist Names      500008602"	"http://vocab.getty.edu/ulan/500008602   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500008602"	
"1753"	"Person"			"Georges"	"Georges"	"Seurat"					"Georges-Pierre Seurat (UK:  SUR-ah, -⁠uh, US:  suu-RAH, French: [ʒɔʁʒ pjɛʁ sœʁa]; 2 December 1859 – 29 March 1891) was a French post-Impressionist artist. He is best known for devising the painting techniques known as chromoluminarism as well as pointillism. While less famous than his paintings, his conté crayon drawings have also garnered a great deal of critical appreciation.  Seurat's artistic personality was compounded of qualities which are usually supposed to be opposed and incompatible: on the one hand, his extreme and delicate sensibility, on the other, a passion for logical abstraction and an almost mathematical precision of mind. His large-scale work, A Sunday Afternoon on the Island of La Grande Jatte (1884–1886), altered the direction of modern art by initiating Neo-impressionism, and is one of the icons of late 19th-century painting. (Sourced from Wikipedia, January 2020)"				"Union List of Artist Names      500008873"	"http://vocab.getty.edu/ulan/500008873   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500008873"	
"1754"	"Person"			"Pablo"	"Pablo"	"Picasso"					"Pablo Ruiz Picasso (UK: , US: , Spanish: [ˈpaβlo piˈkaso]; 25 October 1881 – 8 April 1973) was a Spanish painter, sculptor, printmaker, ceramicist, stage designer, poet and playwright who spent most of his adult life in France. Regarded as one of the most influential artists of the 20th century, he is known for co-founding the Cubist movement, the invention of constructed sculpture, the co-invention of collage, and for the wide variety of styles that he helped develop and explore. Among his most famous works are the proto-Cubist Les Demoiselles d'Avignon (1907), and Guernica (1937), a dramatic portrayal of the bombing of Guernica by the German and Italian airforces during the Spanish Civil War. ^Picasso demonstrated extraordinary artistic talent in his early years, painting in a naturalistic manner through his childhood and adolescence. During the first decade of the 20th century, his style changed as he experimented with different theories, techniques, and ideas. After 1906, the Fauvist work of the slightly older artist Henri Matisse motivated Picasso to explore more radical styles, beginning a fruitful rivalry between the two artists, who subsequently were often paired by critics as the leaders of modern art.Picasso's work is often categorized into periods. While the names of many of his later periods are debated, the most commonly accepted periods in his work are the Blue Period (1901–1904), the Rose Period (1904–1906), the African-influenced Period (1907–1909), Analytic Cubism (1909–1912), and Synthetic Cubism (1912–1919), also referred to as the Crystal period. Much of Picasso's work of the late 1910s and early 1920s is in a neoclassical style, and his work in the mid-1920s often has characteristics of Surrealism. His later work often combines elements of his earlier styles. ^Exceptionally prolific throughout the course of his long life, Picasso achieved universal renown and immense fortune for his revolutionary artistic accomplishments, and became one of the best-known figures in 20th-century art. (Sourced from Wikipedia, January 2020)"				"Union List of Artist Names      500009666"	"http://vocab.getty.edu/ulan/500009666   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500009666"	
"1755"	"Person"			"Paul"	"Paul"	"Klee"					"Paul Klee (German: [paʊ̯l ˈkleː]; 18 December 1879 – 29 June 1940) was a Swiss-born artist. His highly individual style was influenced by movements in art that included  Expressionism, Cubism, and Surrealism. Klee was a natural draftsman who experimented with and eventually deeply explored color theory, writing about it extensively; his lectures Writings on Form and Design Theory (Schriften zur Form und Gestaltungslehre), published in English as the Paul Klee Notebooks, are held to be as important for modern art as Leonardo da Vinci's A Treatise on Painting for the Renaissance. He and his colleague, Russian painter Wassily Kandinsky, both taught at the Bauhaus school of art, design and architecture in Germany. His works reflect his dry humor and his sometimes childlike perspective, his personal moods and beliefs, and his musicality. (Sourced from Wikipedia, January 2020)"				"Union List of Artist Names      500010493"	"http://vocab.getty.edu/ulan/500010493   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500010493"	
"1756"	"Person"			"Mark"	"Mark"	"Tobey"					"Mark George Tobey (December 11, 1890 – April 24, 1976) was an American painter. His densely structured compositions, inspired by Asian calligraphy, resemble Abstract expressionism, although the motives for his compositions differ philosophically from most Abstract Expressionist painters. His work was widely recognized throughout the United States and Europe. Along with Guy Anderson, Kenneth Callahan, Morris Graves, and William Cumming, Tobey was a founder of the Northwest School. Senior in age and experience, he had a strong influence on the others; friend and mentor, Tobey shared their interest in philosophy and Eastern religions. Similar to others of the Northwest School, Tobey was mostly self-taught after early studies at the Art Institute of Chicago. In 1921, Tobey founded the art department at The Cornish School in Seattle, Washington.Tobey was an incessant traveler, visiting Mexico, Europe, Palestine, Israel, Turkey, Lebanon, China and Japan. After converting to the Baháʼí Faith, it became an important part of his life. Whether Tobey's all-over paintings, marked by oriental brushwork and calligraphic strokes, were an influencer on Jackson Pollock's drip paintings has been left unanswered. Born in Centerville, Wisconsin, Tobey lived in the Seattle, Washington area for most of his life before moving to Basel, Switzerland in the early 1960s with his companion, Pehr Hallsten; Tobey died there in 1976. (Sourced from Wikipedia, January 2020)"				"Union List of Artist Names      500012870"	"http://vocab.getty.edu/ulan/500012870   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500012870"	
