System ID	Exh Concept short summary	Procedural Status	Title	Description	Organizer	Organizer PersonID	Start Date	End Date	Start-End	Venues	Venue PersonID	Object IDs
"186"	"title unknown; Organizer: Hood College (Frederick); Start: May 01 1937; End: May 30 1937"	"Historic"	"title unknown"	"1937 ^Frederick, Maryland ^Hood College ^title unknown ^May"	"Hood College (Frederick)   Institution"	"1522"	"May 01 1937"	"May 30 1937"	"May 01 1937 - May 30 1937"	"title unknown; Organizer: Hood College (Frederick); Start: May 01 1937; End: May 30 1937; Hood College (Frederick); Opening: May 01 1937; Closing: May 30 1937"	"1522"	"8551"
"211"	"Contemporary American Paintings lent by the Phillips Memorial Gallery; Organizer: Everson Museum of Art (Syracuse); Start: Apr 1939; End: Apr 1939"	"Historic"	"Contemporary American Paintings lent by the Phillips Memorial Gallery"	"1939 ^Syracuse, New york ^Syracuse Museum of Fine Arts ^Contemporary American Paintings lent by the Phillips Memorial Gallery ^April"	"Everson Museum of Art (Syracuse)   Institution"	"1536"	"Apr 1939"	"Apr 1939"	"Apr 1939 - Apr 1939"	"Contemporary American Paintings lent by the Phillips Memorial Gallery; Organizer: Everson Museum of Art (Syracuse); Start: Apr 1939; End: Apr 1939; Everson Museum of Art (Syracuse); Opening: Apr 1939; Closing: Apr 1939"	"1536"	"8551"
"223"	"Emotional Design in Painting An Exhibition at the Phillips Memorial Gallery; Organizer: The Phillips Collection (Washington, D.C.); Start: Apr 07 1940; End: May 05 1940"	"Historic"	"Emotional Design in Painting An Exhibition at the Phillips Memorial Gallery"	"1940 ^Washington, D.C. ^Phillips Memorial Gallery ^7 April--May 5"	"The Phillips Collection (Washington, D.C.)   Institution"	"248"	"Apr 07 1940"	"May 05 1940"	"Apr 07 1940 - May 05 1940"	"Emotional Design in Painting An Exhibition at the Phillips Memorial Gallery; Organizer: The Phillips Collection (Washington, D.C.); Start: Apr 07 1940; End: May 05 1940; The Phillips Collection (Washington, D.C.); Opening: Apr 07 1940; Closing: May 05 1940"	"248"	"8551"
"296"	"A Group of Women Painters; Organizer: Centennial Club (Nashville); Start: Feb 10 1948; End: Feb 27 1948"	"Historic"	"A Group of Women Painters"	"1948 ^Nashville, Tennessee ^Centennial Club ^A Group of Women Painters ^10-27 February"	"Centennial Club (Nashville)   Hospitality"	"1588"	"Feb 10 1948"	"Feb 27 1948"	"Feb 10 1948 - Feb 27 1948"	"A Group of Women Painters; Organizer: Centennial Club (Nashville); Start: Feb 10 1948; End: Feb 27 1948; Centennial Club (Nashville); Opening: Feb 10 1948; Closing: Feb 27 1948"	"1588"	"8551"
"105"	"Exhibition of Tri-National Art - French, British and American; Organizer: Wildenstein and Company (New York City); Start: Jan 26 1926; End: Feb 15 1926"	"Historic"	"Exhibition of Tri-National Art - French, British and American"	"1926 ^New York ^Wildenstein Galleries ^Exhibition of Tri-National Art - French, British and American ^26 January -- 15 February"	"Wildenstein and Company (New York City)   Institution"	"1469"	"Jan 26 1926"	"Feb 15 1926"	"Jan 26 1926 - Feb 15 1926"	"Exhibition of Tri-National Art - French, British and American; Organizer: Wildenstein and Company (New York City); Start: Jan 26 1926; End: Feb 15 1926; Wildenstein and Company (New York City); Opening: Jan 26 1926; Closing: Feb 15 1926"	"1469"	"8557"
"313"	"The Artists Speaks in Paint, Stone and Words: Exhibition of New Paintings and Sculpture; Organizer: Downtown Gallery (The) (New York); Start: Apr 05 1949; End: Apr 23 1949"	"Historic"	"The Artists Speaks in Paint, Stone and Words: Exhibition of New Paintings and Sculpture"	"1949 ^New York ^The Downtown Gallery ^The Artists Speaks in Paint, Stone and Words: Exhibition of New Paintings and Sculpture ^5-23 April"	"Downtown Gallery (The) (New York)   Gallery"	"1468"	"Apr 05 1949"	"Apr 23 1949"	"Apr 05 1949 - Apr 23 1949"	"The Artists Speaks in Paint, Stone and Words: Exhibition of New Paintings and Sculpture; Organizer: Downtown Gallery (The) (New York); Start: Apr 05 1949; End: Apr 23 1949; Downtown Gallery (The) (New York); Opening: Apr 05 1949; Closing: Apr 23 1949"	"1468"	"8564"
"280"	"Spring Exhibition; Organizer: Downtown Gallery (The) (New York); Start: Apr 1947; End: Apr 1947"	"Historic"	"Spring Exhibition"	"1947 ^New York ^Downtown Gallery ^Spring Exhibition ^April"	"Downtown Gallery (The) (New York)   Gallery"	"1468"	"Apr 1947"	"Apr 1947"	"Apr 1947 - Apr 1947"	"Spring Exhibition; Organizer: Downtown Gallery (The) (New York); Start: Apr 1947; End: Apr 1947; Downtown Gallery (The) (New York); Opening: Apr 1947; Closing: Apr 1947"	"1468"	"8585"
"245"	"Hanna Collection of Modern Masterpieces; Organizer: The Speed Art Museum (Louisville); Start: Feb 13 1944; End: Mar 05 1944"	"Historic"	"Hanna Collection of Modern Masterpieces"	"1944 ^Louisville, Kentucky ^J.B. Speed Memorial Museum ^Hanna Collection of Modern Masterpieces ^13 February--5 March"	"The Speed Art Museum (Louisville)   Institution"	"1551"	"Feb 13 1944"	"Mar 05 1944"	"Feb 13 1944 - Mar 05 1944"	"Hanna Collection of Modern Masterpieces; Organizer: The Speed Art Museum (Louisville); Start: Feb 13 1944; End: Mar 05 1944; The Speed Art Museum (Louisville); Opening: Feb 13 1944; Closing: Mar 05 1944"	"1551"	"8632"
"163"	"The 1934 International Exhibition of Paintings; Organizer: Carnegie Museums of Pittsburgh (Pittsburgh); Start: Oct 18 1934; End: Dec 09 1934"	"Historic"	"The 1934 International Exhibition of Paintings"	"1934 ^Pittsburgh, Pennsylvania ^Carnegie Institute ^The 1934 International Exhibition of Paintings ^18 October--9 December"	"Carnegie Museums of Pittsburgh (Pittsburgh)   Institution"	"1496"	"Oct 18 1934"	"Dec 09 1934"	"Oct 18 1934 - Dec 09 1934"	"The 1934 International Exhibition of Paintings; Organizer: Carnegie Museums of Pittsburgh (Pittsburgh); Start: Oct 18 1934; End: Dec 09 1934; Carnegie Museums of Pittsburgh (Pittsburgh); Opening: Oct 18 1934; Closing: Dec 09 1934"	"1496"	"8663"
"212"	"The Fifty-First Annual Exhibition of American Paintings and Sculpture; Organizer: Art Institute of Chicago (Chicago); Start: Nov 14 1940; End: Jan 05 1941"	"Historic"	"The Fifty-First Annual Exhibition of American Paintings and Sculpture"	"1940 ^Chicago Illinois ^The Art Institute of Chicago ^The Fifty-First Annual Exhibition of American Paintings and Sculpture ^14 November 1940--5 January 1941"	"Art Institute of Chicago (Chicago)   Institution"	"381"	"Nov 14 1940"	"Jan 05 1941"	"Nov 14 1940 - Jan 05 1941"	"The Fifty-First Annual Exhibition of American Paintings and Sculpture; Organizer: Art Institute of Chicago (Chicago); Start: Nov 14 1940; End: Jan 05 1941; Art Institute of Chicago (Chicago); Opening: Nov 14 1940; Closing: Jan 05 1941"	"381"	"8664"
"262"	"The One Hundred and Fortieth Annual Exhibition of Oil Painting and Sculpture; Organizer: Pennsylvania Academy of the Fine Arts (Philadelphia); Start: Jan 19 1945; End: Feb 25 1945"	"Historic"	"The One Hundred and Fortieth Annual Exhibition of Oil Painting and Sculpture"	"1945 ^Philadelphia, Pennsylvania ^The Pennsylvania Academy of the Fine Arts ^The One hundred and Fortieth Annual Exhibition of Painting and Sculpture ^19 January - 25 February"	"Pennsylvania Academy of the Fine Arts (Philadelphia)   Institution"	"1451"	"Jan 19 1945"	"Feb 25 1945"	"Jan 19 1945 - Feb 25 1945"	"The One Hundred and Fortieth Annual Exhibition of Oil Painting and Sculpture; Organizer: Pennsylvania Academy of the Fine Arts (Philadelphia); Start: Jan 19 1945; End: Feb 25 1945; Pennsylvania Academy of the Fine Arts (Philadelphia); Opening: Jan 19 1945; Closing: Feb 25 1945"	"1451"	"8673"
"274"	"Museum's Choice Exhibition; Organizer: Rhode Island School of Design, Museum of Art (Providence); Start: Feb 08 1946; End: Feb 28 1946"	"Historic"	"Museum's Choice Exhibition"	"1946 ^Providence, Rhode Island ^Rhode Island School of Design ^Museum's Choice Exhibition ^8-28 February"	"Rhode Island School of Design, Museum of Art (Providence)   "	"1571"	"Feb 08 1946"	"Feb 28 1946"	"Feb 08 1946 - Feb 28 1946"	"Museum's Choice Exhibition; Organizer: Rhode Island School of Design, Museum of Art (Providence); Start: Feb 08 1946; End: Feb 28 1946; Rhode Island School of Design, Museum of Art (Providence); Opening: Feb 08 1946; Closing: Feb 28 1946"	"1571"	"8673"
"230"	"This is Our City; Organizer: Whitney Museum of American Art (New York City); Start: Mar 11 1941; End: Apr 13 1941"	"Historic"	"This is Our City"	"1941 ^New York ^Whitney Museum of American Art ^This is Our City ^11 March--13 April"	"Whitney Museum of American Art (New York City)   Institution"	"340"	"Mar 11 1941"	"Apr 13 1941"	"Mar 11 1941 - Apr 13 1941"	"This is Our City; Organizer: Whitney Museum of American Art (New York City); Start: Mar 11 1941; End: Apr 13 1941; Whitney Museum of American Art (New York City); Opening: Mar 11 1941; Closing: Apr 13 1941"	"340"	"8683"
"177"	"Flower Paintings by O'Keeffe, H. dudley Murphy and John C. E. Taylor; Organizer: Springfield Museums (Springfield); Start: Apr 22 1935; End: May 12 1935"	"Historic"	"Flower Paintings by O'Keeffe, H. dudley Murphy and John C. E. Taylor"	"1935 ^Springfield, Massachusetts ^Springfield Museum of Art ^Flower Paintings by O'Keeffe, H. dudley Murphy and John C. E. Taylor ^22 April--12 May."	"Springfield Museums (Springfield)   Institution"	"337"	"Apr 22 1935"	"May 12 1935"	"Apr 22 1935 - May 12 1935"	"Flower Paintings by O'Keeffe, H. dudley Murphy and John C. E. Taylor; Organizer: Springfield Museums (Springfield); Start: Apr 22 1935; End: May 12 1935; Springfield Museums (Springfield); Opening: Apr 22 1935; Closing: May 12 1935"	"337"	"8707"
"278"	"First Exchange Exhibition; Organizer: Downtown Gallery (The) (New York), Boris Mirski Gallery (Boston); Start: Apr 29 1947; End: May 17 1947"	"Historic"	"First Exchange Exhibition"	"1947 ^Boston Massachusetts ^Boris Mirski Art Gallery, Boston ^First Exchange Exhibition ^(organized by The downtown Gallery, new York) ^29 April--17 May"	"Downtown Gallery (The) (New York)   , Boris Mirski Gallery (Boston)"	"1468, 1579"	"Apr 29 1947"	"May 17 1947"	"Apr 29 1947 - May 17 1947"	"First Exchange Exhibition; Organizer: Downtown Gallery (The) (New York), Boris Mirski Gallery (Boston); Start: Apr 29 1947; End: May 17 1947; Boris Mirski Gallery (Boston); Opening: Apr 29 1947; Closing: May 17 1947"	"1579"	"8721"
"270"	"Paintings, Sculpture and Graphic Arts from the Museum Collection; Organizer: Museum of Modern Art (New York City); Start: Jul 02 1946; End: Unknown"	"Historic"	"Paintings, Sculpture and Graphic Arts from the Museum Collection"	"1946 ^New York ^The Museum of Modern Art ^Paintings, Sculpture and Graphic Arts from the Museum Collection ^2 July 1946- [no closing date recorded; but reinstalled 12 September 1954 with conjunction with ""XXVth Anniversary Exhibitions,"" which ran to 6 February 1955]."	"Museum of Modern Art (New York City)   Institution"	"1325"	"Jul 02 1946"	"Unknown"	"Jul 02 1946 - Unknown"	"Paintings, Sculpture and Graphic Arts from the Museum Collection; Organizer: Museum of Modern Art (New York City); Start: Jul 02 1946; End: Unknown; Museum of Modern Art (New York City); Opening: Jul 02 1946; Closing: Unknown"	"1325"	"8752"
"214"	"title unknown; Organizer: Minneapolis Institute of Arts (Minneapolis); Start: Oct 1940; End: Oct 1940"	"Historic"	"title unknown"	"1940 ^Minneapolis, Minnesota ^Minneapolis Institute of Arts ^[title unknown] ^October"	"Minneapolis Institute of Arts (Minneapolis)   Institution"	"360"	"Oct 1940"	"Oct 1940"	"Oct 1940 - Oct 1940"	"title unknown; Organizer: Minneapolis Institute of Arts (Minneapolis); Start: Oct 1940; End: Oct 1940; Minneapolis Institute of Arts (Minneapolis); Opening: Oct 1940; Closing: Oct 1940"	"360"	"8758"
"225"	"title unknown; Organizer: Museum of Contemporary Art Jacksonville (Jacksonville); Start: Mar 01 1941; End: Mar 31 1941"	"Historic"	"title unknown"	"1941 ^Jacksonville, Florida ^Art Institute of Jacksonville ^1--31 March"	"Museum of Contemporary Art Jacksonville (Jacksonville)   Institution"	"1534"	"Mar 01 1941"	"Mar 31 1941"	"Mar 01 1941 - Mar 31 1941"	"title unknown; Organizer: Museum of Contemporary Art Jacksonville (Jacksonville); Start: Mar 01 1941; End: Mar 31 1941; Museum of Contemporary Art Jacksonville (Jacksonville); Opening: Mar 01 1941; Closing: Mar 31 1941"	"1534"	"8758"
"226"	"American Paintings from the Metropolitan Museum Collection; Organizer: Montgomery Museum of Fine Arts (Montgomery); Start: Nov 09 1941; End: Dec 01 1941"	"Historic"	"American Paintings from the Metropolitan Museum Collection"	"1941 ^Montgomery Alabama ^Montgomery Museum of Art ^American Paintings from the Metropolitan Museum Collection ^9 November--1 December"	"Montgomery Museum of Fine Arts (Montgomery)   Institution"	"335"	"Nov 09 1941"	"Dec 01 1941"	"Nov 09 1941 - Dec 01 1941"	"American Paintings from the Metropolitan Museum Collection; Organizer: Montgomery Museum of Fine Arts (Montgomery); Start: Nov 09 1941; End: Dec 01 1941; Montgomery Museum of Fine Arts (Montgomery); Opening: Nov 09 1941; Closing: Dec 01 1941"	"335"	"8758"
"254"	"title unknown; Organizer: Munson-Williams-Proctor Arts Institute (Utica); Start: Mar 1944; End: Apr 1944"	"Historic"	"title unknown"	"1944 ^Utica, New York ^Munson-Williams-Proctor-Institute ^March-April"	"Munson-Williams-Proctor Arts Institute (Utica)   Institution"	"1559"	"Mar 1944"	"Apr 1944"	"Mar 1944 - Apr 1944"	"title unknown; Organizer: Munson-Williams-Proctor Arts Institute (Utica); Start: Mar 1944; End: Apr 1944; Munson-Williams-Proctor Arts Institute (Utica); Opening: Mar 1944; Closing: Apr 1944"	"1559"	"8758"
"256"	"title unknown; Organizer: Montgomery Museum of Fine Arts (Montgomery); Start: May 18 1945; End: Aug 1945"	"Historic"	"title unknown"	"1945 ^Birmingham, Alabama ^Montgomery Museum of Art ^title unknown ^18 May-August"	"Montgomery Museum of Fine Arts (Montgomery)   Institution"	"335"	"May 18 1945"	"Aug 1945"	"May 18 1945 - Aug 1945"	"title unknown; Organizer: Montgomery Museum of Fine Arts (Montgomery); Start: May 18 1945; End: Aug 1945; Montgomery Museum of Fine Arts (Montgomery); Opening: May 18 1945; Closing: Aug 1945"	"335"	"8758"
"139"	"Murals by American Painters and Photographers; Organizer: Museum of Modern Art (New York City); Start: May 03 1932; End: May 31 1932"	"Historic"	"Murals by American Painters and Photographers"	"1932 ^New York ^The Museum of Modern Art ^Murals by American Painters and Photographers ^3--31 May"	"Museum of Modern Art (New York City)   Institution"	"1325"	"May 03 1932"	"May 31 1932"	"May 03 1932 - May 31 1932"	"Murals by American Painters and Photographers; Organizer: Museum of Modern Art (New York City); Start: May 03 1932; End: May 31 1932; Museum of Modern Art (New York City); Opening: May 03 1932; Closing: May 31 1932"	"1325"	"8787"
"162"	"Seventy Five Americans; Organizer: Pennsylvania Academy of the Fine Arts (Philadelphia); Start: Unknown; End: Unknown"	"Historic"	"Seventy Five Americans"	"1934 ^Philadelphia, Pennsylvania ^The Pennsylvania Academy of the Fine Arts ^Seventy Five Americans ^[dates unknown]"	"Pennsylvania Academy of the Fine Arts (Philadelphia)   Institution"	"1451"	"Unknown"	"Unknown"	"Unknown - Unknown"	"Seventy Five Americans; Organizer: Pennsylvania Academy of the Fine Arts (Philadelphia); Start: Unknown; End: Unknown; Pennsylvania Academy of the Fine Arts (Philadelphia); Opening: Unknown; Closing: Unknown"	"1451"	"8787"
"259"	"Encyclopaedia Britannica Collection of Contemporary American Painting; Organizer: Encyclopaedia Britannica, Inc. (Chicago); Start: 1945; End: 1950"	"Historic"	"Encyclopaedia Britannica Collection of Contemporary American Painting"	"1945 ^New York ^Encyclopaedia Britannica, Inc. ^Encyclopaedia Britannica Collection of Contemporary American Painting ^dates unknown ^Circulated to principal American museums, 1945-50"	"Encyclopaedia Britannica, Inc. (Chicago)   Public Relations"	"1566"	"1945"	"1950"	"1945 - 1950"	"Encyclopaedia Britannica Collection of Contemporary American Painting; Organizer: Encyclopaedia Britannica, Inc. (Chicago); Start: 1945; End: 1950; Encyclopaedia Britannica, Inc. (Chicago); Opening: 1945; Closing: 1950"	"1566"	"8793"
"288"	"Encyclopaedia Exhibitions; Organizer: Saint Louis Art Museum (St. Louis); Start: Feb 1947"	"Historic"	"Encyclopaedia Exhibitions"	"1947 ^St. Louis, Missouri ^City Art Museum ^Encyclopaedia Exhibitions ^February"	"Saint Louis Art Museum (St. Louis)   Institution"	"1494"	"Feb 1947"		"ends: "	"Encyclopaedia Exhibitions; Organizer: Saint Louis Art Museum (St. Louis); Start: Feb 1947; Saint Louis Art Museum (St. Louis); Opening: Feb 1947"	"1494"	"8793"
"165"	"American Painting and Sculpture of the 18th, 19th, & 20th Centuries; Organizer: Wadsworth Atheneum Museum of Art (Hartford); Start: Jan 29 1935; End: Feb 10 1935"	"Historic"	"American Painting and Sculpture of the 18th, 19th, & 20th Centuries"	"1935 ^Hartford, Connecticut ^Wadsworth Atheneum ^American Painting and Sculpture of the 18th, 19th, & 20th Centuries ^29 January--19 February"	"Wadsworth Atheneum Museum of Art (Hartford)   Institution"	"1499"	"Jan 29 1935"	"Feb 10 1935"	"Jan 29 1935 - Feb 10 1935"	"American Painting and Sculpture of the 18th, 19th, & 20th Centuries; Organizer: Wadsworth Atheneum Museum of Art (Hartford); Start: Jan 29 1935; End: Feb 10 1935; Wadsworth Atheneum Museum of Art (Hartford); Opening: Jan 29 1935; Closing: Feb 10 1935"	"1499"	"8809"
"244"	"Shown in the Modern Room; Organizer: The Dayton Art Institute (Dayton); Start: Dec 1944; End: Dec 1944"	"Historic"	"Shown in the Modern Room"	"1944 ^Dayton, Ohio ^The Dayton Art Institute ^December"	"The Dayton Art Institute (Dayton)   Institution"	"1550"	"Dec 1944"	"Dec 1944"	"Dec 1944 - Dec 1944"	"Shown in the Modern Room; Organizer: The Dayton Art Institute (Dayton); Start: Dec 1944; End: Dec 1944; The Dayton Art Institute (Dayton); Opening: Dec 1944; Closing: Dec 1944"	"1550"	"8809"
